template,option_a,option_b,prompt,score_a,score_b
Which do you prefer: {A} or {B}?,red,blue,Which do you prefer: red or blue?,-2.060546875,-0.1544189453125
Which do you prefer: {A} or {B}?,red,green,Which do you prefer: red or green?,-0.07025146484375,-4.0078125
Which do you prefer: {A} or {B}?,red,yellow,Which do you prefer: red or yellow?,-0.04180908203125,-9.7578125
Which do you prefer: {A} or {B}?,red,purple,Which do you prefer: red or purple?,-11.4765625,-0.005634307861328125
Which do you prefer: {A} or {B}?,blue,red,Which do you prefer: blue or red?,-0.00572967529296875,-9.1953125
Which do you prefer: {A} or {B}?,blue,green,Which do you prefer: blue or green?,-0.0318603515625,-3.5625
Which do you prefer: {A} or {B}?,blue,yellow,Which do you prefer: blue or yellow?,-0.0110931396484375,-13.9453125
Which do you prefer: {A} or {B}?,blue,purple,Which do you prefer: blue or purple?,-3.5078125,-0.03857421875
Which do you prefer: {A} or {B}?,green,red,Which do you prefer: green or red?,-0.0129241943359375,-5.57421875
Which do you prefer: {A} or {B}?,green,blue,Which do you prefer: green or blue?,-3.2890625,-0.03936767578125
Which do you prefer: {A} or {B}?,green,yellow,Which do you prefer: green or yellow?,-0.01116180419921875,-14.1640625
Which do you prefer: {A} or {B}?,green,purple,Which do you prefer: green or purple?,-3.65234375,-0.05889892578125
Which do you prefer: {A} or {B}?,yellow,red,Which do you prefer: yellow or red?,-2.46875,-0.1566162109375
Which do you prefer: {A} or {B}?,yellow,blue,Which do you prefer: yellow or blue?,-12.4140625,-0.006534576416015625
Which do you prefer: {A} or {B}?,yellow,green,Which do you prefer: yellow or green?,-4.62890625,-0.1290283203125
Which do you prefer: {A} or {B}?,yellow,purple,Which do you prefer: yellow or purple?,-10.2421875,-0.08935546875
Which do you prefer: {A} or {B}?,purple,red,Which do you prefer: purple or red?,-0.007297515869140625,-8.3515625
Which do you prefer: {A} or {B}?,purple,blue,Which do you prefer: purple or blue?,-0.63623046875,-0.76123046875
Which do you prefer: {A} or {B}?,purple,green,Which do you prefer: purple or green?,-0.0182037353515625,-7.73828125
Which do you prefer: {A} or {B}?,purple,yellow,Which do you prefer: purple or yellow?,-0.07037353515625,-13.5390625
Do you prefer {A} or {B}?,red,blue,Do you prefer red or blue?,-2.126953125,-0.469970703125
Do you prefer {A} or {B}?,red,green,Do you prefer red or green?,-0.4345703125,-4.18359375
Do you prefer {A} or {B}?,red,yellow,Do you prefer red or yellow?,-0.5234375,-11.0546875
Do you prefer {A} or {B}?,red,purple,Do you prefer red or purple?,-10.609375,-0.139404296875
Do you prefer {A} or {B}?,blue,red,Do you prefer blue or red?,-0.1514892578125,-12.6796875
Do you prefer {A} or {B}?,blue,green,Do you prefer blue or green?,-0.1475830078125,-7.5859375
Do you prefer {A} or {B}?,blue,yellow,Do you prefer blue or yellow?,-0.6328125,-16.03125
Do you prefer {A} or {B}?,blue,purple,Do you prefer blue or purple?,-2.203125,-1.703125
Do you prefer {A} or {B}?,green,red,Do you prefer green or red?,-0.90087890625,-8.3046875
Do you prefer {A} or {B}?,green,blue,Do you prefer green or blue?,-2.234375,-0.390380859375
Do you prefer {A} or {B}?,green,yellow,Do you prefer green or yellow?,-0.955078125,-14.234375
