template,option_a,option_b,prompt,score_a,score_b
Which do you prefer: {A} or {B}?,ASUS,Lenovo,Which do you prefer: ASUS or Lenovo?,-1.1920928955078125e-05,-2.2649765014648438e-06
Which do you prefer: {A} or {B}?,ASUS,HP,Which do you prefer: ASUS or HP?,-7.271766662597656e-06,-5.66015625
Which do you prefer: {A} or {B}?,ASUS,Dell,Which do you prefer: ASUS or Dell?,-5.9604644775390625e-06,-1.2159347534179688e-05
Which do you prefer: {A} or {B}?,ASUS,Apple,Which do you prefer: ASUS or Apple?,-7.867813110351562e-06,-1.185546875
Which do you prefer: {A} or {B}?,Lenovo,ASUS,Which do you prefer: Lenovo or ASUS?,-1.0728836059570312e-06,-6.794929504394531e-06
Which do you prefer: {A} or {B}?,Lenovo,HP,Which do you prefer: Lenovo or HP?,-1.1920928955078125e-06,-2.517578125
Which do you prefer: {A} or {B}?,Lenovo,Dell,Which do you prefer: Lenovo or Dell?,-2.6226043701171875e-06,-2.5033950805664062e-06
Which do you prefer: {A} or {B}?,Lenovo,Apple,Which do you prefer: Lenovo or Apple?,-1.3113021850585938e-06,-0.66455078125
Which do you prefer: {A} or {B}?,HP,ASUS,Which do you prefer: HP or ASUS?,-0.64892578125,-3.6954879760742188e-06
Which do you prefer: {A} or {B}?,HP,Lenovo,Which do you prefer: HP or Lenovo?,-0.01009368896484375,-1.9073486328125e-06
Which do you prefer: {A} or {B}?,HP,Dell,Which do you prefer: HP or Dell?,-0.1181640625,-2.86102294921875e-06
Which do you prefer: {A} or {B}?,HP,Apple,Which do you prefer: HP or Apple?,-0.1962890625,-1.7275390625
Which do you prefer: {A} or {B}?,Dell,ASUS,Which do you prefer: Dell or ASUS?,-2.0265579223632812e-05,-4.887580871582031e-06
Which do you prefer: {A} or {B}?,Dell,Lenovo,Which do you prefer: Dell or Lenovo?,-1.5497207641601562e-06,-1.3113021850585938e-06
Which do you prefer: {A} or {B}?,Dell,HP,Which do you prefer: Dell or HP?,-1.5497207641601562e-06,-3.2578125
Which do you prefer: {A} or {B}?,Dell,Apple,Which do you prefer: Dell or Apple?,-1.1920928955078125e-06,-2.279296875
Which do you prefer: {A} or {B}?,Apple,ASUS,Which do you prefer: Apple or ASUS?,-0.10467529296875,-3.4570693969726562e-06
Which do you prefer: {A} or {B}?,Apple,Lenovo,Which do you prefer: Apple or Lenovo?,-0.00353240966796875,-1.7881393432617188e-06
Which do you prefer: {A} or {B}?,Apple,HP,Which do you prefer: Apple or HP?,-0.004367828369140625,-5.44140625
Which do you prefer: {A} or {B}?,Apple,Dell,Which do you prefer: Apple or Dell?,-0.03692626953125,-3.5762786865234375e-07
Do you prefer {A} or {B}?,ASUS,Lenovo,Do you prefer ASUS or Lenovo?,-7.510185241699219e-06,-1.430511474609375e-06
Do you prefer {A} or {B}?,ASUS,HP,Do you prefer ASUS or HP?,-5.4836273193359375e-06,-4.12890625
Do you prefer {A} or {B}?,ASUS,Dell,Do you prefer ASUS or Dell?,-5.364418029785156e-06,-5.364418029785156e-06
Do you prefer {A} or {B}?,ASUS,Apple,Do you prefer ASUS or Apple?,-7.152557373046875e-06,-0.405517578125
Do you prefer {A} or {B}?,Lenovo,ASUS,Do you prefer Lenovo or ASUS?,-1.1920928955078125e-06,-4.887580871582031e-06
Do you prefer {A} or {B}?,Lenovo,HP,Do you prefer Lenovo or HP?,-2.384185791015625e-06,-1.1904296875
Do you prefer {A} or {B}?,Lenovo,Dell,Do you prefer Lenovo or Dell?,-3.933906555175781e-06,-1.7881393432617188e-06
Do you prefer {A} or {B}?,Lenovo,Apple,Do you prefer Lenovo or Apple?,-1.5497207641601562e-06,-0.2203369140625
Do you prefer {A} or {B}?,HP,ASUS,Do you prefer HP or ASUS?,-1.2490234375,-3.4570693969726562e-06
Do you prefer {A} or {B}?,HP,Lenovo,Do you prefer HP or Lenovo?,-0.0305023193359375,-2.2649765014648438e-06
Do you prefer {A} or {B}?,HP,Dell,Do you prefer HP or Dell?,-0.15576171875,-2.2649765014648438e-06
