template,option_a,option_b,prompt,score_a,score_b
Which do you prefer: {A} or {B}?,Pizza,Sushi,Which do you prefer: Pizza or Sushi?,-0.002925872802734375,-4.649162292480469e-06
Which do you prefer: {A} or {B}?,Pizza,Burger,Which do you prefer: Pizza or Burger?,-0.0023555755615234375,-7.271766662597656e-06
Which do you prefer: {A} or {B}?,Pizza,Pasta,Which do you prefer: Pizza or Pasta?,-0.016845703125,-0.02325439453125
Which do you prefer: {A} or {B}?,Pizza,Salad,Which do you prefer: Pizza or Salad?,-0.0010700225830078125,-9.298324584960938e-06
Which do you prefer: {A} or {B}?,Pizza,Steak,Which do you prefer: Pizza or Steak?,-0.06585693359375,-8.225440979003906e-06
Which do you prefer: {A} or {B}?,Pizza,Tacos,Which do you prefer: Pizza or Tacos?,-0.1258544921875,-2.4080276489257812e-05
Which do you prefer: {A} or {B}?,Sushi,Pizza,Which do you prefer: Sushi or Pizza?,-1.9073486328125e-06,-4.7109375
Which do you prefer: {A} or {B}?,Sushi,Burger,Which do you prefer: Sushi or Burger?,-1.5497207641601562e-06,-1.9073486328125e-06
Which do you prefer: {A} or {B}?,Sushi,Pasta,Which do you prefer: Sushi or Pasta?,-6.9141387939453125e-06,-4.00543212890625e-05
Which do you prefer: {A} or {B}?,Sushi,Salad,Which do you prefer: Sushi or Salad?,-7.62939453125e-06,-1.5139579772949219e-05
Which do you prefer: {A} or {B}?,Sushi,Steak,Which do you prefer: Sushi or Steak?,-4.410743713378906e-06,-5.125999450683594e-06
Which do you prefer: {A} or {B}?,Sushi,Tacos,Which do you prefer: Sushi or Tacos?,-3.2186508178710938e-06,-8.821487426757812e-06
Which do you prefer: {A} or {B}?,Burger,Pizza,Which do you prefer: Burger or Pizza?,-4.0531158447265625e-06,-5.0546875
Which do you prefer: {A} or {B}?,Burger,Sushi,Which do you prefer: Burger or Sushi?,-4.5299530029296875e-06,-2.7418136596679688e-06
Which do you prefer: {A} or {B}?,Burger,Pasta,Which do you prefer: Burger or Pasta?,-5.245208740234375e-06,-2.9325485229492188e-05
Which do you prefer: {A} or {B}?,Burger,Salad,Which do you prefer: Burger or Salad?,-4.291534423828125e-06,-4.172325134277344e-06
Which do you prefer: {A} or {B}?,Burger,Steak,Which do you prefer: Burger or Steak?,-2.753734588623047e-05,-3.4809112548828125e-05
Which do you prefer: {A} or {B}?,Burger,Tacos,Which do you prefer: Burger or Tacos?,-0.00038623809814453125,-5.078315734863281e-05
Which do you prefer: {A} or {B}?,Pasta,Pizza,Which do you prefer: Pasta or Pizza?,-0.0013895034790039062,-5.0234375
Which do you prefer: {A} or {B}?,Pasta,Sushi,Which do you prefer: Pasta or Sushi?,-1.6808509826660156e-05,-3.337860107421875e-06
Which do you prefer: {A} or {B}?,Pasta,Burger,Which do you prefer: Pasta or Burger?,-2.5510787963867188e-05,-1.1563301086425781e-05
Which do you prefer: {A} or {B}?,Pasta,Salad,Which do you prefer: Pasta or Salad?,-1.3113021850585938e-06,-8.106231689453125e-06
Which do you prefer: {A} or {B}?,Pasta,Steak,Which do you prefer: Pasta or Steak?,-3.445148468017578e-05,-3.337860107421875e-06
Which do you prefer: {A} or {B}?,Pasta,Tacos,Which do you prefer: Pasta or Tacos?,-0.00010657310485839844,-1.0609626770019531e-05
Which do you prefer: {A} or {B}?,Salad,Pizza,Which do you prefer: Salad or Pizza?,-5.125999450683594e-06,-1.064453125
Which do you prefer: {A} or {B}?,Salad,Sushi,Which do you prefer: Salad or Sushi?,-1.2040138244628906e-05,-1.6689300537109375e-05
Which do you prefer: {A} or {B}?,Salad,Burger,Which do you prefer: Salad or Burger?,-3.0994415283203125e-06,-4.410743713378906e-06
Which do you prefer: {A} or {B}?,Salad,Pasta,Which do you prefer: Salad or Pasta?,-2.4437904357910156e-05,-3.0994415283203125e-06
Which do you prefer: {A} or {B}?,Salad,Steak,Which do you prefer: Salad or Steak?,-0.00012493133544921875,-2.6226043701171875e-06
Which do you prefer: {A} or {B}?,Salad,Tacos,Which do you prefer: Salad or Tacos?,-9.5367431640625e-06,-1.4066696166992188e-05
Which do you prefer: {A} or {B}?,Steak,Pizza,Which do you prefer: Steak or Pizza?,-0.000225067138671875,-3.896484375
Which do you prefer: {A} or {B}?,Steak,Sushi,Which do you prefer: Steak or Sushi?,-9.655952453613281e-06,-1.9669532775878906e-05
Which do you prefer: {A} or {B}?,Steak,Burger,Which do you prefer: Steak or Burger?,-4.9233436584472656e-05,-2.8967857360839844e-05
Which do you prefer: {A} or {B}?,Steak,Pasta,Which do you prefer: Steak or Pasta?,-0.0001430511474609375,-0.00011110305786132812
Which do you prefer: {A} or {B}?,Steak,Salad,Which do you prefer: Steak or Salad?,-9.894371032714844e-06,-0.0004093647003173828
Which do you prefer: {A} or {B}?,Steak,Tacos,Which do you prefer: Steak or Tacos?,-0.0007824897766113281,-2.0742416381835938e-05
Which do you prefer: {A} or {B}?,Tacos,Pizza,Which do you prefer: Tacos or Pizza?,-1.4781951904296875e-05,-7.96875
Which do you prefer: {A} or {B}?,Tacos,Sushi,Which do you prefer: Tacos or Sushi?,-1.6927719116210938e-05,-1.0728836059570312e-06
Which do you prefer: {A} or {B}?,Tacos,Burger,Which do you prefer: Tacos or Burger?,-0.0001742839813232422,-0.000621795654296875
Which do you prefer: {A} or {B}?,Tacos,Pasta,Which do you prefer: Tacos or Pasta?,-1.5616416931152344e-05,-0.0002574920654296875
Which do you prefer: {A} or {B}?,Tacos,Salad,Which do you prefer: Tacos or Salad?,-1.3709068298339844e-05,-2.5272369384765625e-05
Which do you prefer: {A} or {B}?,Tacos,Steak,Which do you prefer: Tacos or Steak?,-2.372264862060547e-05,-0.00018787384033203125
Do you prefer {A} or {B}?,Pizza,Sushi,Do you prefer Pizza or Sushi?,-0.0025653839111328125,-5.9604644775390625e-06
Do you prefer {A} or {B}?,Pizza,Burger,Do you prefer Pizza or Burger?,-0.003650665283203125,-6.079673767089844e-06
Do you prefer {A} or {B}?,Pizza,Pasta,Do you prefer Pizza or Pasta?,-0.055633544921875,-0.00917816162109375
Do you prefer {A} or {B}?,Pizza,Salad,Do you prefer Pizza or Salad?,-0.0016164779663085938,-1.704692840576172e-05
Do you prefer {A} or {B}?,Pizza,Steak,Do you prefer Pizza or Steak?,-0.03387451171875,-8.702278137207031e-06
Do you prefer {A} or {B}?,Pizza,Tacos,Do you prefer Pizza or Tacos?,-0.158935546875,-6.031990051269531e-05
Do you prefer {A} or {B}?,Sushi,Pizza,Do you prefer Sushi or Pizza?,-2.7418136596679688e-06,-3.92578125
Do you prefer {A} or {B}?,Sushi,Burger,Do you prefer Sushi or Burger?,-1.3113021850585938e-06,-1.5497207641601562e-06
Do you prefer {A} or {B}?,Sushi,Pasta,Do you prefer Sushi or Pasta?,-8.225440979003906e-06,-1.7642974853515625e-05
Do you prefer {A} or {B}?,Sushi,Salad,Do you prefer Sushi or Salad?,-1.0132789611816406e-05,-1.823902130126953e-05
Do you prefer {A} or {B}?,Sushi,Steak,Do you prefer Sushi or Steak?,-4.410743713378906e-06,-7.152557373046875e-06
Do you prefer {A} or {B}?,Sushi,Tacos,Do you prefer Sushi or Tacos?,-4.5299530029296875e-06,-1.33514404296875e-05
Do you prefer {A} or {B}?,Burger,Pizza,Do you prefer Burger or Pizza?,-8.940696716308594e-06,-4.06640625
Do you prefer {A} or {B}?,Burger,Sushi,Do you prefer Burger or Sushi?,-9.655952453613281e-06,-1.7881393432617188e-06
Do you prefer {A} or {B}?,Burger,Pasta,Do you prefer Burger or Pasta?,-1.1086463928222656e-05,-5.364418029785156e-06
Do you prefer {A} or {B}?,Burger,Salad,Do you prefer Burger or Salad?,-7.748603820800781e-06,-3.0994415283203125e-06
Do you prefer {A} or {B}?,Burger,Steak,Do you prefer Burger or Steak?,-5.137920379638672e-05,-2.6941299438476562e-05
Do you prefer {A} or {B}?,Burger,Tacos,Do you prefer Burger or Tacos?,-0.0012331008911132812,-6.937980651855469e-05
Do you prefer {A} or {B}?,Pasta,Pizza,Do you prefer Pasta or Pizza?,-0.0014772415161132812,-5.1015625
Do you prefer {A} or {B}?,Pasta,Sushi,Do you prefer Pasta or Sushi?,-9.894371032714844e-06,-3.5762786865234375e-06
Do you prefer {A} or {B}?,Pasta,Burger,Do you prefer Pasta or Burger?,-1.3470649719238281e-05,-1.2278556823730469e-05
Do you prefer {A} or {B}?,Pasta,Salad,Do you prefer Pasta or Salad?,-4.76837158203125e-07,-2.3126602172851562e-05
Do you prefer {A} or {B}?,Pasta,Steak,Do you prefer Pasta or Steak?,-1.3232231140136719e-05,-4.410743713378906e-06
Do you prefer {A} or {B}?,Pasta,Tacos,Do you prefer Pasta or Tacos?,-4.0531158447265625e-05,-1.8715858459472656e-05
Do you prefer {A} or {B}?,Salad,Pizza,Do you prefer Salad or Pizza?,-8.58306884765625e-06,-0.270751953125
Do you prefer {A} or {B}?,Salad,Sushi,Do you prefer Salad or Sushi?,-1.4185905456542969e-05,-2.3365020751953125e-05
Do you prefer {A} or {B}?,Salad,Burger,Do you prefer Salad or Burger?,-2.5033950805664062e-06,-2.7418136596679688e-06
Do you prefer {A} or {B}?,Salad,Pasta,Do you prefer Salad or Pasta?,-4.5180320739746094e-05,-1.0728836059570312e-06
Do you prefer {A} or {B}?,Salad,Steak,Do you prefer Salad or Steak?,-9.524822235107422e-05,-5.4836273193359375e-06
Do you prefer {A} or {B}?,Salad,Tacos,Do you prefer Salad or Tacos?,-1.0848045349121094e-05,-2.014636993408203e-05
Do you prefer {A} or {B}?,Steak,Pizza,Do you prefer Steak or Pizza?,-8.392333984375e-05,-2.53515625
Do you prefer {A} or {B}?,Steak,Sushi,Do you prefer Steak or Sushi?,-7.62939453125e-06,-1.33514404296875e-05
Do you prefer {A} or {B}?,Steak,Burger,Do you prefer Steak or Burger?,-2.6941299438476562e-05,-1.609325408935547e-05
Do you prefer {A} or {B}?,Steak,Pasta,Do you prefer Steak or Pasta?,-0.00011301040649414062,-2.6702880859375e-05
