iteration,num_templates,purple,yellow,green,blue,red
1,1,1.5101113222265654,1.0000011256168702,1.0000010688965475,1.0000008449362898,0.6622008231035748
2,2,1.5101116987187302,1.0000008248222363,1.000000253447045,0.9999999388366964,0.662201997205506
3,3,2.103521056388109,1.3386331334230526,0.870850266470402,1.0047686313984046,0.4058653808934424
4,4,1.9936949406791784,1.4177842386549304,1.0206898534637732,1.1386359712470484,0.30440546981138705
5,5,1.686644324774724,1.3000469317317767,1.0086207500445432,1.0973799264888706,0.41203352125673154
6,6,1.9745133883827806,1.3569805548489615,0.8781184540092138,1.2610779740595783,0.337032085900486
7,7,1.7555994334831628,1.285032842478499,0.8930817298834985,1.209060647292472,0.4105074561787873
8,8,1.6185659368038414,1.238863025000011,0.9053809240354037,1.175518790961682,0.4685817789179577
9,9,1.796034549534599,1.4049027164159522,0.8743112359935363,1.1073757962130484,0.4093341461114196
10,10,1.67719617600221,1.3502745093479362,0.8861706763273981,1.0931640521649786,0.4558178733613441
11,11,1.6593454710203654,1.3117585051076373,0.8961071561097613,1.0836522103264314,0.47310706148494186
12,12,1.6449662910999956,1.280918982794175,0.9044362134327627,1.0759258837422583,0.48770929968004667
13,13,1.6916240223329293,1.297579845583451,0.8540204265406475,1.0693070914718596,0.49887456205319847
14,14,1.7321315542772882,1.2728066179980848,0.8378618309752573,1.0636595461321416,0.5089576579422588
15,15,1.6622787948121558,1.2503953559000118,0.8484020355706232,1.058625488910418,0.5356791402586973
16,16,1.6587854596235565,1.268885990880642,0.8807294216886161,1.084675779278544,0.4973300834248718
17,17,1.604355767077013,1.2492750238133223,0.8875184077207791,1.078667034568845,0.5211664941721489
18,18,1.6016336153843145,1.2639346622433352,0.8531614986203583,1.1255259199666072,0.5144290095685903
19,19,1.5966722269794138,1.2480493193475126,0.8417166579094967,1.1431026549447996,0.5215564559554366
20,20,1.591751664767802,1.23378497842607,0.8491709104611711,1.135198188670626,0.528224342324422
21,21,1.6625471973497312,1.2742449179668462,0.8220161031621879,1.1529896127784405,0.4980436261971557
22,22,1.7317309700754324,1.2880374138658008,0.797723102940176,1.1925871088959505,0.4712472375624608
23,23,1.7625128130197818,1.3248031320211897,0.7615048306757042,1.2300381109225798,0.45721991717845095
24,24,1.8642432219313496,1.336907260288034,0.7420079508677384,1.2443726532910229,0.4345473723856298
25,25,1.9264590818198764,1.3705707064109018,0.7121336704657125,1.256444139818896,0.42328615190452124
26,26,1.9881731734131887,1.357815206517581,0.7208143530913353,1.2698256010345526,0.4047041126779052
27,27,1.9794966657089834,1.4378012326179654,0.7059696494721934,1.2831072760026392,0.38787998984337463
28,28,1.9994072011340325,1.4667629108626756,0.6809793772495305,1.2928031252974943,0.3873222758938433
29,29,1.9837191611283094,1.4944657261791408,0.6792318929364272,1.2803298689870468,0.38787689036613443
30,30,2.0703186792803314,1.4985482427771875,0.6571545264229244,1.2922881395216894,0.3795466902864386
31,31,2.1225855391217077,1.555890197492916,0.6563335692385623,1.263082637287068,0.3652577768872913
32,32,2.062185211655482,1.5229865651780665,0.6660333037998604,1.2543470833609756,0.3811207456184523
33,33,2.0056168311508444,1.4987797303321695,0.6757675752098726,1.2432953576439054,0.3959520190133464
34,34,1.9938542425006127,1.5233818206117085,0.6749930272505159,1.251736000484974,0.3896599721926979
35,35,1.9448706209242868,1.5000077439017108,0.6837842525984883,1.242389438951708,0.40349572434356457
36,36,1.900970523773563,1.4792253800371036,0.692168516944773,1.2332207375608053,0.41661759421833244
37,37,1.8610508978523341,1.4603980158816623,0.7000809613068714,1.2246228107247394,0.42916065861347824
38,38,1.8809439123377856,1.5007534522385535,0.6899856235776559,1.2342611403594144,0.4159754551560563
39,39,1.9468588706145633,1.5059642332444683,0.6800894161619547,1.2435249697645818,0.4033019721911128
40,40,1.9654584673608275,1.5281019822227233,0.6711165178154871,1.2665358427440032,0.3917133536954186
41,41,1.9518974064607282,1.5094318235649482,0.6787209310473095,1.2578846963342467,0.3975551968274233
42,42,1.9119002024759317,1.4919012288433084,0.6857330964714997,1.249501528746805,0.4091690788642412
43,43,1.8777789744412339,1.490789542325312,0.6853518717175798,1.2417203453755383,0.4197607143520286
44,44,1.8452102401684378,1.4744997725115212,0.6921286027666093,1.2342012421344686,0.4302656320139283
45,45,1.835530213577268,1.4604122664270718,0.6983325175001875,1.2277903428045311,0.43508740562540055
46,46,1.806574973125016,1.4461402326493171,0.7045340783615099,1.221166082468827,0.4448943225203994
47,47,1.8357743860922593,1.4478831309931761,0.6964428014957333,1.2046624703691393,0.44843174705105654
48,48,1.8089157711154058,1.4353627366986437,0.7023055006905057,1.1995468350142753,0.4571689310087429
49,49,1.7868148446737937,1.4237150264346852,0.7076128719510284,1.194691198735357,0.4649925455813913
50,50,1.7582866208205865,1.4107989853994989,0.7136235492753186,1.188806658456072,0.47518725928784267
