template_idx,score_a,score_b,a_brand,a_screen,a_price,b_brand,b_screen,b_price
0,-0.2333984375,0.8759765625,Apple,small screen,cheap,Apple,small screen,expensive
0,-0.533203125,0.96728515625,Apple,small screen,cheap,Apple,large screen,cheap
0,-0.361328125,0.91943359375,Apple,small screen,cheap,Apple,large screen,expensive
0,-0.5830078125,0.9794921875,Apple,small screen,cheap,Lenovo,small screen,cheap
0,-0.302734375,0.900390625,Apple,small screen,cheap,Lenovo,small screen,expensive
0,-0.5830078125,0.9794921875,Apple,small screen,cheap,Lenovo,large screen,cheap
0,-0.291015625,0.896484375,Apple,small screen,cheap,Lenovo,large screen,expensive
0,-0.544921875,0.97021484375,Apple,small screen,cheap,Dell,small screen,cheap
0,-0.255859375,0.884765625,Apple,small screen,cheap,Dell,small screen,expensive
0,-0.5703125,0.9765625,Apple,small screen,cheap,Dell,large screen,cheap
0,-0.267578125,0.888671875,Apple,small screen,cheap,Dell,large screen,expensive
0,-1.5859375,1.1171875,Apple,small screen,expensive,Apple,small screen,cheap
0,-1.865234375,1.134765625,Apple,small screen,expensive,Apple,large screen,cheap
0,-1.615234375,1.119140625,Apple,small screen,expensive,Apple,large screen,expensive
0,-1.62890625,1.1201171875,Apple,small screen,expensive,Lenovo,small screen,cheap
0,-1.3125,1.09375,Apple,small screen,expensive,Lenovo,small screen,expensive
0,-1.76171875,1.12890625,Apple,small screen,expensive,Lenovo,large screen,cheap
0,-1.64453125,1.12109375,Apple,small screen,expensive,Lenovo,large screen,expensive
0,-1.615234375,1.119140625,Apple,small screen,expensive,Dell,small screen,cheap
0,-1.3125,1.09375,Apple,small screen,expensive,Dell,small screen,expensive
0,-1.74609375,1.1279296875,Apple,small screen,expensive,Dell,large screen,cheap
0,-1.64453125,1.12109375,Apple,small screen,expensive,Dell,large screen,expensive
0,-0.470703125,0.951171875,Apple,large screen,cheap,Apple,small screen,cheap
0,-0.302734375,0.900390625,Apple,large screen,cheap,Apple,small screen,expensive
0,-0.421875,0.9375,Apple,large screen,cheap,Apple,large screen,expensive
0,-0.595703125,0.982421875,Apple,large screen,cheap,Lenovo,small screen,cheap
0,-0.302734375,0.900390625,Apple,large screen,cheap,Lenovo,small screen,expensive
0,-0.8037109375,1.0244140625,Apple,large screen,cheap,Lenovo,large screen,cheap
0,-0.5205078125,0.9638671875,Apple,large screen,cheap,Lenovo,large screen,expensive
0,-0.5830078125,0.9794921875,Apple,large screen,cheap,Dell,small screen,cheap
0,-0.2451171875,0.88037109375,Apple,large screen,cheap,Dell,small screen,expensive
0,-0.763671875,1.017578125,Apple,large screen,cheap,Dell,large screen,cheap
0,-0.458984375,0.94775390625,Apple,large screen,cheap,Dell,large screen,expensive
0,-2.05859375,1.14453125,Apple,large screen,expensive,Apple,small screen,cheap
0,-1.52734375,1.11328125,Apple,large screen,expensive,Apple,small screen,expensive
0,-1.87890625,1.1357421875,Apple,large screen,expensive,Apple,large screen,cheap
0,-2.05859375,1.14453125,Apple,large screen,expensive,Lenovo,small screen,cheap
0,-1.732421875,1.126953125,Apple,large screen,expensive,Lenovo,small screen,expensive
0,-1.998046875,1.142578125,Apple,large screen,expensive,Lenovo,large screen,cheap
0,-1.658203125,1.123046875,Apple,large screen,expensive,Lenovo,large screen,expensive
0,-2.02734375,1.1435546875,Apple,large screen,expensive,Dell,small screen,cheap
0,-1.716796875,1.1259765625,Apple,large screen,expensive,Dell,small screen,expensive
0,-2.02734375,1.1435546875,Apple,large screen,expensive,Dell,large screen,cheap
0,-1.703125,1.1259765625,Apple,large screen,expensive,Dell,large screen,expensive
0,-0.6982421875,1.0048828125,Lenovo,small screen,cheap,Apple,small screen,cheap
0,-0.470703125,0.951171875,Lenovo,small screen,cheap,Apple,small screen,expensive
0,-0.8173828125,1.02734375,Lenovo,small screen,cheap,Apple,large screen,cheap
0,-0.5576171875,0.97314453125,Lenovo,small screen,cheap,Apple,large screen,expensive
0,-0.291015625,0.896484375,Lenovo,small screen,cheap,Lenovo,small screen,expensive
0,-0.6728515625,0.9990234375,Lenovo,small screen,cheap,Lenovo,large screen,cheap
0,-0.533203125,0.966796875,Lenovo,small screen,cheap,Lenovo,large screen,expensive
0,-0.66015625,0.99609375,Lenovo,small screen,cheap,Dell,small screen,cheap
0,-0.41015625,0.93408203125,Lenovo,small screen,cheap,Dell,small screen,expensive
0,-0.763671875,1.017578125,Lenovo,small screen,cheap,Dell,large screen,cheap
0,-0.5078125,0.9609375,Lenovo,small screen,cheap,Dell,large screen,expensive
0,-1.658203125,1.123046875,Lenovo,small screen,expensive,Apple,small screen,cheap
0,-1.498046875,1.1103515625,Lenovo,small screen,expensive,Apple,small screen,expensive
0,-1.89453125,1.13671875,Lenovo,small screen,expensive,Apple,large screen,cheap
0,-1.89453125,1.13671875,Lenovo,small screen,expensive,Apple,large screen,expensive
0,-1.599609375,1.1181640625,Lenovo,small screen,expensive,Lenovo,small screen,cheap
