template,option_a,option_b,prompt,score_a,score_b
Which do you prefer: {A} or {B}?,red,blue,Which do you prefer: red or blue?,-0.09478759765625,-2.439453125
Which do you prefer: {A} or {B}?,red,green,Which do you prefer: red or green?,-0.020660400390625,-4.05078125
Which do you prefer: {A} or {B}?,red,yellow,Which do you prefer: red or yellow?,-0.00844573974609375,-6.0078125
Which do you prefer: {A} or {B}?,red,purple,Which do you prefer: red or purple?,-1.4326171875,-0.3076171875
Which do you prefer: {A} or {B}?,blue,red,Which do you prefer: blue or red?,-0.00322723388671875,-9.96875
Which do you prefer: {A} or {B}?,blue,green,Which do you prefer: blue or green?,-0.0127716064453125,-4.60546875
Which do you prefer: {A} or {B}?,blue,yellow,Which do you prefer: blue or yellow?,-0.01078033447265625,-6.94921875
Which do you prefer: {A} or {B}?,blue,purple,Which do you prefer: blue or purple?,-0.0328369140625,-3.533203125
Which do you prefer: {A} or {B}?,green,red,Which do you prefer: green or red?,-0.005344390869140625,-9.1640625
Which do you prefer: {A} or {B}?,green,blue,Which do you prefer: green or blue?,-6.2265625,-0.00634765625
Which do you prefer: {A} or {B}?,green,yellow,Which do you prefer: green or yellow?,-0.001522064208984375,-9.125
Which do you prefer: {A} or {B}?,green,purple,Which do you prefer: green or purple?,-0.02423095703125,-3.8046875
Which do you prefer: {A} or {B}?,yellow,red,Which do you prefer: yellow or red?,-0.212890625,-1.837890625
Which do you prefer: {A} or {B}?,yellow,blue,Which do you prefer: yellow or blue?,-5.625,-0.0301971435546875
Which do you prefer: {A} or {B}?,yellow,green,Which do you prefer: yellow or green?,-0.94775390625,-0.51025390625
Which do you prefer: {A} or {B}?,yellow,purple,Which do you prefer: yellow or purple?,-2.2109375,-0.147705078125
Which do you prefer: {A} or {B}?,purple,red,Which do you prefer: purple or red?,-0.10198974609375,-2.6640625
Which do you prefer: {A} or {B}?,purple,blue,Which do you prefer: purple or blue?,-5.07421875,-0.0118865966796875
Which do you prefer: {A} or {B}?,purple,green,Which do you prefer: purple or green?,-0.055694580078125,-3.994140625
Which do you prefer: {A} or {B}?,purple,yellow,Which do you prefer: purple or yellow?,-0.0112152099609375,-7.63671875
Do you prefer {A} or {B}?,red,blue,Do you prefer red or blue?,-0.4384765625,-1.0634765625
Do you prefer {A} or {B}?,red,green,Do you prefer red or green?,-0.0278167724609375,-4.80859375
Do you prefer {A} or {B}?,red,yellow,Do you prefer red or yellow?,-0.0560302734375,-4.9921875
Do you prefer {A} or {B}?,red,purple,Do you prefer red or purple?,-3.517578125,-0.17431640625
Do you prefer {A} or {B}?,blue,red,Do you prefer blue or red?,-0.00894927978515625,-9.8203125
Do you prefer {A} or {B}?,blue,green,Do you prefer blue or green?,-0.034912109375,-3.75390625
Do you prefer {A} or {B}?,blue,yellow,Do you prefer blue or yellow?,-0.055755615234375,-6.2109375
Do you prefer {A} or {B}?,blue,purple,Do you prefer blue or purple?,-0.32373046875,-1.48046875
Do you prefer {A} or {B}?,green,red,Do you prefer green or red?,-0.05841064453125,-9.6484375
Do you prefer {A} or {B}?,green,blue,Do you prefer green or blue?,-6.0546875,-0.0250701904296875
Do you prefer {A} or {B}?,green,yellow,Do you prefer green or yellow?,-0.02490234375,-8.6796875
Do you prefer {A} or {B}?,green,purple,Do you prefer green or purple?,-0.04376220703125,-3.54296875
Do you prefer {A} or {B}?,yellow,red,Do you prefer yellow or red?,-0.29638671875,-2.234375
Do you prefer {A} or {B}?,yellow,blue,Do you prefer yellow or blue?,-5.5546875,-0.11773681640625
Do you prefer {A} or {B}?,yellow,green,Do you prefer yellow or green?,-0.69482421875,-0.81982421875
Do you prefer {A} or {B}?,yellow,purple,Do you prefer yellow or purple?,-2.52734375,-0.21533203125
Do you prefer {A} or {B}?,purple,red,Do you prefer purple or red?,-0.26953125,-3.48828125
Do you prefer {A} or {B}?,purple,blue,Do you prefer purple or blue?,-5.3515625,-0.072021484375
Do you prefer {A} or {B}?,purple,green,Do you prefer purple or green?,-0.425537109375,-4.98828125
Do you prefer {A} or {B}?,purple,yellow,Do you prefer purple or yellow?,-0.19677734375,-7.1015625
{A} vs. {B}: What is your preference?,red,blue,red vs. blue: What is your preference?,-0.0092010498046875,-4.6953125
{A} vs. {B}: What is your preference?,red,green,red vs. green: What is your preference?,-0.004489898681640625,-5.41015625
{A} vs. {B}: What is your preference?,red,yellow,red vs. yellow: What is your preference?,-0.00576019287109375,-5.16015625
{A} vs. {B}: What is your preference?,red,purple,red vs. purple: What is your preference?,-0.03472900390625,-3.37890625
{A} vs. {B}: What is your preference?,blue,red,blue vs. red: What is your preference?,-0.00012874603271484375,-8.96875
{A} vs. {B}: What is your preference?,blue,green,blue vs. green: What is your preference?,-0.0016508102416992188,-6.40625
{A} vs. {B}: What is your preference?,blue,yellow,blue vs. yellow: What is your preference?,-0.0010671615600585938,-6.84375
{A} vs. {B}: What is your preference?,blue,purple,blue vs. purple: What is your preference?,-0.01416778564453125,-4.265625
{A} vs. {B}: What is your preference?,green,red,green vs. red: What is your preference?,-1.7404556274414062e-05,-11.03125
{A} vs. {B}: What is your preference?,green,blue,green vs. blue: What is your preference?,-0.0357666015625,-3.34765625
{A} vs. {B}: What is your preference?,green,yellow,green vs. yellow: What is your preference?,-8.666515350341797e-05,-9.375
{A} vs. {B}: What is your preference?,green,purple,green vs. purple: What is your preference?,-0.001651763916015625,-6.40625
{A} vs. {B}: What is your preference?,yellow,red,yellow vs. red: What is your preference?,-0.0005006790161132812,-7.625
{A} vs. {B}: What is your preference?,yellow,blue,yellow vs. blue: What is your preference?,-0.014190673828125,-4.265625
{A} vs. {B}: What is your preference?,yellow,green,yellow vs. green: What is your preference?,-0.0021953582763671875,-6.12890625
{A} vs. {B}: What is your preference?,yellow,purple,yellow vs. purple: What is your preference?,-0.1468505859375,-1.990234375
{A} vs. {B}: What is your preference?,purple,red,purple vs. red: What is your preference?,-0.0001226663589477539,-9.078125
{A} vs. {B}: What is your preference?,purple,blue,purple vs. blue: What is your preference?,-0.0181884765625,-4.01953125
{A} vs. {B}: What is your preference?,purple,green,purple vs. green: What is your preference?,-0.002216339111328125,-6.12890625
{A} vs. {B}: What is your preference?,purple,yellow,purple vs. yellow: What is your preference?,-0.0003662109375,-7.96875
Which option do you prefer: {A} or {B}?,red,blue,Which option do you prefer: red or blue?,-0.33056640625,-1.267578125
