iteration,num_templates,purple,green,yellow,blue,red
1,1,790907339841263.0,1.4708127267866413,1.470794372043755,8.748628883486072e-06,6.680747554921074e-11
2,2,3.5424778952794704,1.2649411489494409,1.2649396965866695,0.6248473019663614,0.282344160279178
3,3,3.8017164502092817,0.9796261269891163,1.1403795181730019,0.6199127700590773,0.3798218346557451
4,4,4.867231693418862,0.7582032423549185,0.9536254450484718,0.6761426184904409,0.4202582044093316
5,5,3.520502784522748,0.8186323357558406,0.9764521319812659,0.7493214734379473,0.4742280913601985
6,6,3.323763402319906,0.8487630073206203,1.0585511814225497,0.7883722884907821,0.42475670587607345
7,7,2.6479282170279315,0.8768309504049132,1.0536166010993124,0.8246197556860387,0.4957258672825171
8,8,2.28055204643855,0.8951892876151444,1.0482502652344834,0.8491988517896238,0.5502635632686981
9,9,2.0489090506943866,0.9083868568242462,1.0435159446618785,0.867267144049205,0.5936828373208228
10,10,1.8891425504728723,0.9184367145406496,1.0394935719982548,0.8812393567540108,0.6291733816701928
11,11,1.7721025970030801,0.9263888023159923,1.0360906827395784,0.8924167523923326,0.6587981312723035
12,12,1.9616762731472726,0.8985420472330037,0.9963107546537829,0.8680690593980012,0.6559717866889343
13,13,1.851425287699823,0.9069334108946214,0.9971731353416559,0.878652000887472,0.6797213875856691
14,14,2.022262849112889,0.8589360689242641,0.9962527407610895,0.938934245522874,0.6154557701943717
15,15,2.1867472483315997,0.8413595215282798,0.9945811191769451,0.9148613802703001,0.5973437060957161
16,16,2.345372557133187,0.8256137095785238,0.9666855150811353,0.8934707027219609,0.5979236578200746
17,17,2.209469955814386,0.8367244686005053,0.9697561687046651,0.9008744074363169,0.6191596269566154
18,18,2.2867563066184617,0.8241128581561292,0.9931054617144279,0.8839496533762694,0.6044641159726147
19,19,2.4279177123475715,0.8301082107902581,0.9916776917022645,0.8679380346216329,0.5764638301544067
20,20,2.5682522906934167,0.8005095017667486,0.9694127557616081,0.9095591083278348,0.551640530473545
21,21,2.711485603061283,0.7902143222402699,1.0096238124891501,0.8931470381389155,0.5175654208863797
22,22,2.8545338436738046,0.7955026177161096,1.047276772534941,0.8440786821841036,0.49817139535956523
23,23,2.9942063040589137,0.8007657169671248,1.0837744978964305,0.8007698403304814,0.4805805308615997
24,24,3.050942843303614,0.8066507867585022,1.1192224422841357,0.7636114888303828,0.4754353863708801
25,25,3.1654142155448484,0.7696747054247608,1.1107266605731287,0.75549589264706,0.48912846061977727
26,26,3.234445658866305,0.7751556099844322,1.1645372073930493,0.7365031270350806,0.4650324750031563
27,27,3.1949970181804583,0.7700058668981187,1.1571905959027822,0.7451888852906269,0.47137250247848267
28,28,3.3081821623145804,0.7624649641780871,1.1302454772300121,0.738689060662977,0.4748497860611049
29,29,3.429801655576668,0.7550932988127294,1.1406710850013466,0.7210785998522236,0.46944783313718996
30,30,3.5591486541088093,0.7587598511088758,1.1693358265647982,0.6938813561365208,0.45637837255207164
31,31,3.4388635043444484,0.7679083341242333,1.1815550411876299,0.714520231498112,0.4485462117352928
32,32,3.2519766513897097,0.7765930405193816,1.1767423436323114,0.7250147923633705,0.46412059267056766
33,33,3.156204412745572,0.7845897602455426,1.1701228664936372,0.7337517901590072,0.4703396604277593
34,34,3.128642327348329,0.7903148838699229,1.1641175778027117,0.7310855800662646,0.47520265395067207
35,35,3.0855947183095,0.7863121141574302,1.1446196412460676,0.7383473411732367,0.48769043921704625
36,36,2.969932366737294,0.7931396217394144,1.1394940703276408,0.7461619975643918,0.49929658861484494
37,37,3.0489023008189706,0.786984350875805,1.120397866160944,0.7416627131525954,0.5015470460053919
38,38,2.9324319702875847,0.8216671952434793,1.1055291026296212,0.749603869186825,0.5008112853833923
39,39,3.013888670576538,0.8430494470838931,1.0775266175137845,0.7536753490927753,0.48462680134699593
40,40,3.0988521784460756,0.8268510041491663,1.0989129116871554,0.7570253113784465,0.46913540000729725
41,41,2.9845138100038064,0.8322692353536504,1.0966484375447443,0.7642567349828034,0.48034786755422054
42,42,3.057795573736947,0.8257321903719402,1.0815334110903747,0.7676303955156122,0.4770459723938469
43,43,3.040541345321704,0.8294060615505194,1.07926629767892,0.7645154365933731,0.48058145430807814
44,44,2.936721916187558,0.8343726046337744,1.0779914487285436,0.7708615286078061,0.491117547687517
45,45,2.923189295893942,0.8376752442639935,1.0758899241457633,0.767859352851646,0.4943310160674786
46,46,2.8336135679233223,0.842134883429774,1.0746965795829118,0.7736739004705814,0.5040039107147667
47,47,2.752192887450763,0.8463168603370887,1.0735155839758133,0.7791604656065757,0.513278268296185
48,48,2.781236857917507,0.8641086929669924,1.0716825631777716,0.768600421745931,0.5051575713705626
49,49,2.7064823345887956,0.8676279454872303,1.0705828644239366,0.7738785849790075,0.5140059599418909
50,50,2.637497331830402,0.8709624798022737,1.0694533260254855,0.7790397851177092,0.522500910664266
