template,option_a,option_b,prompt,score_a,score_b
Which do you prefer: {A} or {B}?,Pizza,Sushi,Which do you prefer: Pizza or Sushi?,-0.0013027191162109375,0.0
Which do you prefer: {A} or {B}?,Pizza,Burger,Which do you prefer: Pizza or Burger?,-2.682209014892578e-05,-1.1920928955078125e-07
Which do you prefer: {A} or {B}?,Pizza,Pasta,Which do you prefer: Pizza or Pasta?,-1.2636184692382812e-05,-0.0008325576782226562
Which do you prefer: {A} or {B}?,Pizza,Salad,Which do you prefer: Pizza or Salad?,-2.777576446533203e-05,0.0
Which do you prefer: {A} or {B}?,Pizza,Steak,Which do you prefer: Pizza or Steak?,-0.0004093647003173828,-4.76837158203125e-07
Which do you prefer: {A} or {B}?,Pizza,Tacos,Which do you prefer: Pizza or Tacos?,-6.031990051269531e-05,-2.0265579223632812e-06
Which do you prefer: {A} or {B}?,Sushi,Pizza,Which do you prefer: Sushi or Pizza?,0.0,-2.4921875
Which do you prefer: {A} or {B}?,Sushi,Burger,Which do you prefer: Sushi or Burger?,0.0,-1.1920928955078125e-07
Which do you prefer: {A} or {B}?,Sushi,Pasta,Which do you prefer: Sushi or Pasta?,0.0,-1.1920928955078125e-07
Which do you prefer: {A} or {B}?,Sushi,Salad,Which do you prefer: Sushi or Salad?,0.0,0.0
Which do you prefer: {A} or {B}?,Sushi,Steak,Which do you prefer: Sushi or Steak?,0.0,-1.1920928955078125e-07
Which do you prefer: {A} or {B}?,Sushi,Tacos,Which do you prefer: Sushi or Tacos?,0.0,-4.76837158203125e-07
Which do you prefer: {A} or {B}?,Burger,Pizza,Which do you prefer: Burger or Pizza?,-1.1920928955078125e-07,-2.607421875
Which do you prefer: {A} or {B}?,Burger,Sushi,Which do you prefer: Burger or Sushi?,-1.1920928955078125e-07,0.0
Which do you prefer: {A} or {B}?,Burger,Pasta,Which do you prefer: Burger or Pasta?,-1.1920928955078125e-07,0.0
Which do you prefer: {A} or {B}?,Burger,Salad,Which do you prefer: Burger or Salad?,-2.384185791015625e-07,0.0
Which do you prefer: {A} or {B}?,Burger,Steak,Which do you prefer: Burger or Steak?,-3.5762786865234375e-07,-1.1920928955078125e-06
