template,option_a,option_b,prompt,score_a,score_b
Which do you prefer: {A} or {B}?,Apple,Microsoft,Which do you prefer: Apple or Microsoft?,-0.0021953582763671875,-6.16015625
Which do you prefer: {A} or {B}?,Apple,Google,Which do you prefer: Apple or Google?,-0.0238494873046875,-3.7578125
Which do you prefer: {A} or {B}?,Apple,Amazon,Which do you prefer: Apple or Amazon?,-0.0149993896484375,-4.21875
Which do you prefer: {A} or {B}?,Apple,Tesla,Which do you prefer: Apple or Tesla?,-0.071044921875,-2.6796875
Which do you prefer: {A} or {B}?,Apple,Nvidia,Which do you prefer: Apple or Nvidia?,-0.03704833984375,-0.000514984130859375
Which do you prefer: {A} or {B}?,Apple,Meta,Which do you prefer: Apple or Meta?,-0.028900146484375,-3.560546875
Which do you prefer: {A} or {B}?,Microsoft,Apple,Which do you prefer: Microsoft or Apple?,-1.314453125,-0.314208984375
Which do you prefer: {A} or {B}?,Microsoft,Google,Which do you prefer: Microsoft or Google?,-0.9453125,-0.4921875
Which do you prefer: {A} or {B}?,Microsoft,Amazon,Which do you prefer: Microsoft or Amazon?,-0.474609375,-0.974609375
Which do you prefer: {A} or {B}?,Microsoft,Tesla,Which do you prefer: Microsoft or Tesla?,-1.1689453125,-0.372314453125
Which do you prefer: {A} or {B}?,Microsoft,Nvidia,Which do you prefer: Microsoft or Nvidia?,-1.3017578125,-0.00015020370483398438
Which do you prefer: {A} or {B}?,Microsoft,Meta,Which do you prefer: Microsoft or Meta?,-0.304931640625,-1.3359375
Which do you prefer: {A} or {B}?,Google,Apple,Which do you prefer: Google or Apple?,-0.032135009765625,-3.46875
Which do you prefer: {A} or {B}?,Google,Microsoft,Which do you prefer: Google or Microsoft?,-0.0011148452758789062,-6.8125
Which do you prefer: {A} or {B}?,Google,Amazon,Which do you prefer: Google or Amazon?,-0.0033054351806640625,-5.72265625
Which do you prefer: {A} or {B}?,Google,Tesla,Which do you prefer: Google or Tesla?,-0.0743408203125,-2.63671875
Which do you prefer: {A} or {B}?,Google,Nvidia,Which do you prefer: Google or Nvidia?,-0.0284576416015625,-0.00025534629821777344
Which do you prefer: {A} or {B}?,Google,Meta,Which do you prefer: Google or Meta?,-0.018157958984375,-4.01953125
Which do you prefer: {A} or {B}?,Amazon,Apple,Which do you prefer: Amazon or Apple?,-0.79150390625,-0.60400390625
Which do you prefer: {A} or {B}?,Amazon,Microsoft,Which do you prefer: Amazon or Microsoft?,-0.018951416015625,-3.98828125
Which do you prefer: {A} or {B}?,Amazon,Google,Which do you prefer: Amazon or Google?,-0.0733642578125,-2.65234375
Which do you prefer: {A} or {B}?,Amazon,Tesla,Which do you prefer: Amazon or Tesla?,-0.0280303955078125,-3.58984375
Which do you prefer: {A} or {B}?,Amazon,Nvidia,Which do you prefer: Amazon or Nvidia?,-0.0230560302734375,-5.6624412536621094e-05
Which do you prefer: {A} or {B}?,Amazon,Meta,Which do you prefer: Amazon or Meta?,-0.042388916015625,-3.18359375
Which do you prefer: {A} or {B}?,Tesla,Apple,Which do you prefer: Tesla or Apple?,-0.0264129638671875,-3.65234375
Which do you prefer: {A} or {B}?,Tesla,Microsoft,Which do you prefer: Tesla or Microsoft?,-0.0164642333984375,-4.125
Which do you prefer: {A} or {B}?,Tesla,Google,Which do you prefer: Tesla or Google?,-0.0166473388671875,-4.125
Which do you prefer: {A} or {B}?,Tesla,Amazon,Which do you prefer: Tesla or Amazon?,-0.270751953125,-1.4423828125
Which do you prefer: {A} or {B}?,Tesla,Nvidia,Which do you prefer: Tesla or Nvidia?,-0.01395416259765625,-9.584426879882812e-05
Which do you prefer: {A} or {B}?,Tesla,Meta,Which do you prefer: Tesla or Meta?,-0.00786590576171875,-4.8671875
Which do you prefer: {A} or {B}?,Nvidia,Apple,Which do you prefer: Nvidia or Apple?,-5.4836273193359375e-05,-0.62548828125
