template,option_a,option_b,prompt,score_a,score_b
Which do you prefer: {A} or {B}?,Toyota,Honda,Which do you prefer: Toyota or Honda?,-0.0024871826171875,-6.00390625
Which do you prefer: {A} or {B}?,Toyota,Ford,Which do you prefer: Toyota or Ford?,-0.000690460205078125,-7.3125
Which do you prefer: {A} or {B}?,Toyota,BMW,Which do you prefer: Toyota or BMW?,-0.0765380859375,-2.607421875
Which do you prefer: {A} or {B}?,Toyota,Mercedes,Which do you prefer: Toyota or Mercedes?,-0.2451171875,0.0
Which do you prefer: {A} or {B}?,Toyota,Tesla,Which do you prefer: Toyota or Tesla?,-4.265625,-0.01416778564453125
Which do you prefer: {A} or {B}?,Toyota,Audi,Which do you prefer: Toyota or Audi?,-0.1427001953125,0.0
Which do you prefer: {A} or {B}?,Honda,Toyota,Which do you prefer: Honda or Toyota?,-3.98828125,-0.01873779296875
Which do you prefer: {A} or {B}?,Honda,Ford,Which do you prefer: Honda or Ford?,-0.058441162109375,-2.87109375
Which do you prefer: {A} or {B}?,Honda,BMW,Which do you prefer: Honda or BMW?,-0.97412109375,-0.47412109375
Which do you prefer: {A} or {B}?,Honda,Mercedes,Which do you prefer: Honda or Mercedes?,-4.078125,0.0
Which do you prefer: {A} or {B}?,Honda,Tesla,Which do you prefer: Honda or Tesla?,-9.5625,-7.867813110351562e-05
Which do you prefer: {A} or {B}?,Honda,Audi,Which do you prefer: Honda or Audi?,-5.1015625,0.0
Which do you prefer: {A} or {B}?,Ford,Toyota,Which do you prefer: Ford or Toyota?,-4.296875,-0.01375579833984375
Which do you prefer: {A} or {B}?,Ford,Honda,Which do you prefer: Ford or Honda?,-2.154296875,-0.12335205078125
Which do you prefer: {A} or {B}?,Ford,BMW,Which do you prefer: Ford or BMW?,-3.560546875,-0.028961181640625
Which do you prefer: {A} or {B}?,Ford,Mercedes,Which do you prefer: Ford or Mercedes?,-4.265625,0.0
Which do you prefer: {A} or {B}?,Ford,Tesla,Which do you prefer: Ford or Tesla?,-9.484375,-8.559226989746094e-05
Which do you prefer: {A} or {B}?,Ford,Audi,Which do you prefer: Ford or Audi?,-5.28515625,0.0
Which do you prefer: {A} or {B}?,BMW,Toyota,Which do you prefer: BMW or Toyota?,-1.033203125,-0.439697265625
Which do you prefer: {A} or {B}?,BMW,Honda,Which do you prefer: BMW or Honda?,-0.03472900390625,-3.37890625
Which do you prefer: {A} or {B}?,BMW,Ford,Which do you prefer: BMW or Ford?,-0.0027065277099609375,-5.92578125
Which do you prefer: {A} or {B}?,BMW,Mercedes,Which do you prefer: BMW or Mercedes?,-0.1697998046875,0.0
Which do you prefer: {A} or {B}?,BMW,Tesla,Which do you prefer: BMW or Tesla?,-8.234375,-0.0002720355987548828
Which do you prefer: {A} or {B}?,BMW,Audi,Which do you prefer: BMW or Audi?,-0.004947662353515625,0.0
Which do you prefer: {A} or {B}?,Mercedes,Toyota,Which do you prefer: Mercedes or Toyota?,0.0,-0.10638427734375
Which do you prefer: {A} or {B}?,Mercedes,Honda,Which do you prefer: Mercedes or Honda?,0.0,-2.958984375
Which do you prefer: {A} or {B}?,Mercedes,Ford,Which do you prefer: Mercedes or Ford?,0.0,-4.7578125
Which do you prefer: {A} or {B}?,Mercedes,BMW,Which do you prefer: Mercedes or BMW?,0.0,-4.32421875
Which do you prefer: {A} or {B}?,Mercedes,Tesla,Which do you prefer: Mercedes or Tesla?,0.0,-0.0018568038940429688
Which do you prefer: {A} or {B}?,Mercedes,Audi,Which do you prefer: Mercedes or Audi?,0.0,0.0
Which do you prefer: {A} or {B}?,Tesla,Toyota,Which do you prefer: Tesla or Toyota?,-0.003082275390625,-5.78515625
Which do you prefer: {A} or {B}?,Tesla,Honda,Which do you prefer: Tesla or Honda?,-0.00012052059173583984,-9.078125
Which do you prefer: {A} or {B}?,Tesla,Ford,Which do you prefer: Tesla or Ford?,-9.66787338256836e-05,-9.3125
Which do you prefer: {A} or {B}?,Tesla,BMW,Which do you prefer: Tesla or BMW?,-0.00035500526428222656,-7.953125
Which do you prefer: {A} or {B}?,Tesla,Mercedes,Which do you prefer: Tesla or Mercedes?,-0.0023479461669921875,0.0
Which do you prefer: {A} or {B}?,Tesla,Audi,Which do you prefer: Tesla or Audi?,-9.059906005859375e-06,0.0
Which do you prefer: {A} or {B}?,Audi,Toyota,Which do you prefer: Audi or Toyota?,0.0,-1.201171875
Which do you prefer: {A} or {B}?,Audi,Honda,Which do you prefer: Audi or Honda?,0.0,-3.7421875
Which do you prefer: {A} or {B}?,Audi,Ford,Which do you prefer: Audi or Ford?,0.0,-7.875
Which do you prefer: {A} or {B}?,Audi,BMW,Which do you prefer: Audi or BMW?,0.0,-2.37890625
Which do you prefer: {A} or {B}?,Audi,Mercedes,Which do you prefer: Audi or Mercedes?,0.0,0.0
Which do you prefer: {A} or {B}?,Audi,Tesla,Which do you prefer: Audi or Tesla?,0.0,-2.110004425048828e-05
Do you prefer {A} or {B}?,Toyota,Honda,Do you prefer Toyota or Honda?,-0.005084991455078125,-5.28515625
Do you prefer {A} or {B}?,Toyota,Ford,Do you prefer Toyota or Ford?,-0.0010051727294921875,-6.921875
Do you prefer {A} or {B}?,Toyota,BMW,Do you prefer Toyota or BMW?,-0.029754638671875,-3.529296875
Do you prefer {A} or {B}?,Toyota,Mercedes,Do you prefer Toyota or Mercedes?,-0.1162109375,0.0
Do you prefer {A} or {B}?,Toyota,Tesla,Do you prefer Toyota or Tesla?,-4.05078125,-0.017608642578125
Do you prefer {A} or {B}?,Toyota,Audi,Do you prefer Toyota or Audi?,-0.034759521484375,0.0
Do you prefer {A} or {B}?,Honda,Toyota,Do you prefer Honda or Toyota?,-4.38671875,-0.01251983642578125
Do you prefer {A} or {B}?,Honda,Ford,Do you prefer Honda or Ford?,-0.0814208984375,-2.55078125
Do you prefer {A} or {B}?,Honda,BMW,Do you prefer Honda or BMW?,-0.708984375,-0.677734375
Do you prefer {A} or {B}?,Honda,Mercedes,Do you prefer Honda or Mercedes?,-3.712890625,0.0
Do you prefer {A} or {B}?,Honda,Tesla,Do you prefer Honda or Tesla?,-9.890625,-6.020069122314453e-05
Do you prefer {A} or {B}?,Honda,Audi,Do you prefer Honda or Audi?,-3.7421875,0.0
Do you prefer {A} or {B}?,Ford,Toyota,Do you prefer Ford or Toyota?,-4.44921875,-0.01177215576171875
Do you prefer {A} or {B}?,Ford,Honda,Do you prefer Ford or Honda?,-1.91015625,-0.1602783203125
Do you prefer {A} or {B}?,Ford,BMW,Do you prefer Ford or BMW?,-2.75390625,-0.06591796875
Do you prefer {A} or {B}?,Ford,Mercedes,Do you prefer Ford or Mercedes?,-4.078125,0.0
