template,option_a,option_b,prompt,score_a,score_b
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Toyota,Honda,"You have two options:
Option 1 - Toyota
Option 2 - Honda
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Toyota,Ford,"You have two options:
Option 1 - Toyota
Option 2 - Ford
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Toyota,BMW,"You have two options:
Option 1 - Toyota
Option 2 - BMW
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Toyota,Mercedes,"You have two options:
Option 1 - Toyota
Option 2 - Mercedes
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Toyota,Tesla,"You have two options:
Option 1 - Toyota
Option 2 - Tesla
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Toyota,Audi,"You have two options:
Option 1 - Toyota
Option 2 - Audi
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Honda,Toyota,"You have two options:
Option 1 - Honda
Option 2 - Toyota
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Honda,Ford,"You have two options:
Option 1 - Honda
Option 2 - Ford
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Honda,BMW,"You have two options:
Option 1 - Honda
Option 2 - BMW
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Honda,Mercedes,"You have two options:
Option 1 - Honda
Option 2 - Mercedes
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Honda,Tesla,"You have two options:
Option 1 - Honda
Option 2 - Tesla
Which do you prefer?
Answer: ",,
