template_idx,score_a,score_b,a_brand,a_screen,a_price,b_brand,b_screen,b_price
0,-1.046875,1.0625,Apple,13-inch,500$,Apple,13-inch,1500$
0,-0.84375,1.03125,Apple,13-inch,500$,Apple,16-inch,500$
0,-1.07421875,1.06640625,Apple,13-inch,500$,Apple,16-inch,1500$
0,-0.77734375,1.01953125,Apple,13-inch,500$,Lenovo,13-inch,500$
0,-0.978515625,1.052734375,Apple,13-inch,500$,Lenovo,13-inch,1500$
0,-0.7509765625,1.0146484375,Apple,13-inch,500$,Lenovo,16-inch,500$
0,-0.9375,1.046875,Apple,13-inch,500$,Lenovo,16-inch,1500$
0,-0.7509765625,1.0146484375,Apple,13-inch,500$,Dell,13-inch,500$
0,-0.951171875,1.048828125,Apple,13-inch,500$,Dell,13-inch,1500$
0,-0.7119140625,1.0068359375,Apple,13-inch,500$,Dell,16-inch,500$
0,-0.8974609375,1.0400390625,Apple,13-inch,500$,Dell,16-inch,1500$
0,-0.951171875,1.048828125,Apple,13-inch,1500$,Apple,13-inch,500$
0,-1.07421875,1.06640625,Apple,13-inch,1500$,Apple,16-inch,500$
0,-1.005859375,1.056640625,Apple,13-inch,1500$,Apple,16-inch,1500$
0,-0.951171875,1.048828125,Apple,13-inch,1500$,Lenovo,13-inch,500$
0,-0.8974609375,1.0400390625,Apple,13-inch,1500$,Lenovo,13-inch,1500$
0,-0.96484375,1.05078125,Apple,13-inch,1500$,Lenovo,16-inch,500$
0,-0.91015625,1.04296875,Apple,13-inch,1500$,Lenovo,16-inch,1500$
0,-0.8837890625,1.0380859375,Apple,13-inch,1500$,Dell,13-inch,500$
0,-0.8837890625,1.0380859375,Apple,13-inch,1500$,Dell,13-inch,1500$
0,-0.91015625,1.04296875,Apple,13-inch,1500$,Dell,16-inch,500$
0,-0.8837890625,1.0380859375,Apple,13-inch,1500$,Dell,16-inch,1500$
0,-0.5703125,0.9765625,Apple,16-inch,500$,Apple,13-inch,500$
0,-0.8564453125,1.033203125,Apple,16-inch,500$,Apple,13-inch,1500$
0,-1.060546875,1.064453125,Apple,16-inch,500$,Apple,16-inch,1500$
0,-0.5830078125,0.9794921875,Apple,16-inch,500$,Lenovo,13-inch,500$
0,-0.8037109375,1.0244140625,Apple,16-inch,500$,Lenovo,13-inch,1500$
0,-0.7509765625,1.0146484375,Apple,16-inch,500$,Lenovo,16-inch,500$
0,-0.9375,1.046875,Apple,16-inch,500$,Lenovo,16-inch,1500$
0,-0.5458984375,0.97021484375,Apple,16-inch,500$,Dell,13-inch,500$
0,-0.763671875,1.017578125,Apple,16-inch,500$,Dell,13-inch,1500$
0,-0.7373046875,1.01171875,Apple,16-inch,500$,Dell,16-inch,500$
0,-0.91015625,1.04296875,Apple,16-inch,500$,Dell,16-inch,1500$
0,-0.8564453125,1.033203125,Apple,16-inch,1500$,Apple,13-inch,500$
0,-0.7119140625,1.0068359375,Apple,16-inch,1500$,Apple,13-inch,1500$
0,-0.96484375,1.05078125,Apple,16-inch,1500$,Apple,16-inch,500$
