,template,option_a,option_b,prompt,score_a,score_b
0,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Sushi,"You have two options:
Option 1 - Pizza
Option 2 - Sushi
Which do you prefer?
Answer: ",-0.0010013580322265625,-6.90625
1,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Burger,"You have two options:
Option 1 - Pizza
Option 2 - Burger
Which do you prefer?
Answer: ",-0.0005192756652832031,-7.5625
2,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Pasta,"You have two options:
Option 1 - Pizza
Option 2 - Pasta
Which do you prefer?
Answer: ",-0.003177642822265625,-5.75390625
3,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Salad,"You have two options:
Option 1 - Pizza
Option 2 - Salad
Which do you prefer?
Answer: ",-0.00015354156494140625,-8.78125
4,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Steak,"You have two options:
Option 1 - Pizza
Option 2 - Steak
Which do you prefer?
Answer: ",-0.0009703636169433594,-6.9375
5,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Tacos,"You have two options:
Option 1 - Pizza
Option 2 - Tacos
Which do you prefer?
Answer: ",-0.002254486083984375,-6.09765625
6,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Pizza,"You have two options:
Option 1 - Sushi
Option 2 - Pizza
Which do you prefer?
Answer: ",-0.0004444122314453125,-7.71875
7,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Burger,"You have two options:
Option 1 - Sushi
Option 2 - Burger
Which do you prefer?
Answer: ",-0.00186920166015625,-6.28125
8,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Pasta,"You have two options:
Option 1 - Sushi
Option 2 - Pasta
Which do you prefer?
Answer: ",-0.00141143798828125,-6.5625
9,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Salad,"You have two options:
Option 1 - Sushi
Option 2 - Salad
Which do you prefer?
Answer: ",-0.0013675689697265625,-6.59375
10,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Steak,"You have two options:
Option 1 - Sushi
Option 2 - Steak
Which do you prefer?
Answer: ",-0.0015020370483398438,-6.5
11,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Tacos,"You have two options:
Option 1 - Sushi
Option 2 - Tacos
Which do you prefer?
Answer: ",-0.004207611083984375,-5.47265625
12,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Pizza,"You have two options:
Option 1 - Burger
Option 2 - Pizza
Which do you prefer?
Answer: ",-0.0034885406494140625,-5.66015625
13,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Sushi,"You have two options:
Option 1 - Burger
Option 2 - Sushi
Which do you prefer?
Answer: ",-0.0160369873046875,-4.140625
14,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Pasta,"You have two options:
Option 1 - Burger
Option 2 - Pasta
Which do you prefer?
Answer: ",-0.02471923828125,-3.712890625
15,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Salad,"You have two options:
Option 1 - Burger
Option 2 - Salad
Which do you prefer?
Answer: ",-0.033660888671875,-3.408203125
16,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Steak,"You have two options:
Option 1 - Burger
Option 2 - Steak
Which do you prefer?
Answer: ",-0.0239715576171875,-3.7421875
17,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Tacos,"You have two options:
Option 1 - Burger
Option 2 - Tacos
Which do you prefer?
Answer: ",-0.01251220703125,-4.38671875
18,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pasta,Pizza,"You have two options:
Option 1 - Pasta
Option 2 - Pizza
Which do you prefer?
Answer: ",-0.0187225341796875,-3.98828125
19,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pasta,Sushi,"You have two options:
Option 1 - Pasta
Option 2 - Sushi
Which do you prefer?
Answer: ",-0.01006317138671875,-4.60546875
20,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pasta,Burger,"You have two options:
Option 1 - Pasta
Option 2 - Burger
Which do you prefer?
Answer: ",-0.0306854248046875,-3.5
21,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pasta,Salad,"You have two options:
Option 1 - Pasta
Option 2 - Salad
Which do you prefer?
Answer: ",-0.01416015625,-4.265625
22,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pasta,Steak,"You have two options:
Option 1 - Pasta
Option 2 - Steak
Which do you prefer?
Answer: ",-0.032623291015625,-3.439453125
23,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pasta,Tacos,"You have two options:
Option 1 - Pasta
Option 2 - Tacos
Which do you prefer?
Answer: ",-0.1162109375,-2.208984375
24,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Salad,Pizza,"You have two options:
Option 1 - Salad
Option 2 - Pizza
Which do you prefer?
Answer: ",-0.2318115234375,-1.5751953125
25,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Salad,Sushi,"You have two options:
Option 1 - Salad
Option 2 - Sushi
Which do you prefer?
Answer: ",-0.288818359375,-1.3828125
26,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Salad,Burger,"You have two options:
Option 1 - Salad
Option 2 - Burger
Which do you prefer?
Answer: ",-0.201416015625,-1.701171875
27,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Salad,Pasta,"You have two options:
Option 1 - Salad
Option 2 - Pasta
Which do you prefer?
Answer: ",-0.036895751953125,-3.318359375
28,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Salad,Steak,"You have two options:
Option 1 - Salad
Option 2 - Steak
Which do you prefer?
Answer: ",-0.3671875,-1.1796875
29,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Salad,Tacos,"You have two options:
Option 1 - Salad
Option 2 - Tacos
Which do you prefer?
Answer: ",-2.044921875,-0.1385498046875
30,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Steak,Pizza,"You have two options:
Option 1 - Steak
Option 2 - Pizza
Which do you prefer?
Answer: ",-0.0006074905395507812,-7.40625
31,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Steak,Sushi,"You have two options:
Option 1 - Steak
Option 2 - Sushi
Which do you prefer?
Answer: ",-0.00447845458984375,-5.41015625
32,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Steak,Burger,"You have two options:
Option 1 - Steak
Option 2 - Burger
Which do you prefer?
Answer: ",-0.0067138671875,-5.0078125
33,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Steak,Pasta,"You have two options:
Option 1 - Steak
Option 2 - Pasta
Which do you prefer?
Answer: ",-0.001811981201171875,-6.3125
34,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Steak,Salad,"You have two options:
Option 1 - Steak
Option 2 - Salad
Which do you prefer?
Answer: ",-0.00022351741790771484,-8.40625
35,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Steak,Tacos,"You have two options:
Option 1 - Steak
Option 2 - Tacos
Which do you prefer?
Answer: ",-0.01461029052734375,-4.234375
36,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Tacos,Pizza,"You have two options:
Option 1 - Tacos
Option 2 - Pizza
Which do you prefer?
Answer: ",-2.4318695068359375e-05,-10.625
37,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Tacos,Sushi,"You have two options:
Option 1 - Tacos
Option 2 - Sushi
Which do you prefer?
Answer: ",-0.00013136863708496094,-8.9375
38,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Tacos,Burger,"You have two options:
Option 1 - Tacos
Option 2 - Burger
Which do you prefer?
Answer: ",-0.0002532005310058594,-8.28125
39,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Tacos,Pasta,"You have two options:
Option 1 - Tacos
Option 2 - Pasta
Which do you prefer?
Answer: ",-0.00011241436004638672,-9.09375
40,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Tacos,Salad,"You have two options:
Option 1 - Tacos
Option 2 - Salad
Which do you prefer?
Answer: ",-3.0279159545898438e-05,-10.40625
41,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Tacos,Steak,"You have two options:
Option 1 - Tacos
Option 2 - Steak
Which do you prefer?
Answer: ",-0.00023055076599121094,-8.375
42,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Pizza,Sushi,"You have two options:
Option 1 - Pizza
Option 2 - Sushi
Do you prefer option 1 or option 2?
Answer: ",-0.000553131103515625,-7.5
43,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Pizza,Burger,"You have two options:
Option 1 - Pizza
Option 2 - Burger
Do you prefer option 1 or option 2?
Answer: ",-0.0006465911865234375,-7.34375
44,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Pizza,Pasta,"You have two options:
Option 1 - Pizza
Option 2 - Pasta
Do you prefer option 1 or option 2?
Answer: ",-0.004207611083984375,-5.47265625
45,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Pizza,Salad,"You have two options:
Option 1 - Pizza
Option 2 - Salad
Do you prefer option 1 or option 2?
Answer: ",-0.00010228157043457031,-9.1875
46,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Pizza,Steak,"You have two options:
Option 1 - Pizza
Option 2 - Steak
Do you prefer option 1 or option 2?
Answer: ",-0.0019893646240234375,-6.22265625
47,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Pizza,Tacos,"You have two options:
Option 1 - Pizza
Option 2 - Tacos
Do you prefer option 1 or option 2?
Answer: ",-0.010711669921875,-4.54296875
48,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Sushi,Pizza,"You have two options:
Option 1 - Sushi
Option 2 - Pizza
Do you prefer option 1 or option 2?
Answer: ",-0.0014562606811523438,-6.53125
49,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Sushi,Burger,"You have two options:
Option 1 - Sushi
Option 2 - Burger
Do you prefer option 1 or option 2?
Answer: ",-0.004077911376953125,-5.50390625
50,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Sushi,Pasta,"You have two options:
Option 1 - Sushi
Option 2 - Pasta
Do you prefer option 1 or option 2?
Answer: ",-0.0019283294677734375,-6.25
51,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Sushi,Salad,"You have two options:
Option 1 - Sushi
Option 2 - Salad
Do you prefer option 1 or option 2?
Answer: ",-0.0007796287536621094,-7.15625
52,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Sushi,Steak,"You have two options:
Option 1 - Sushi
Option 2 - Steak
Do you prefer option 1 or option 2?
Answer: ",-0.0032787322998046875,-5.72265625
53,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Sushi,Tacos,"You have two options:
Option 1 - Sushi
Option 2 - Tacos
Do you prefer option 1 or option 2?
Answer: ",-0.01554107666015625,-4.171875
54,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Burger,Pizza,"You have two options:
Option 1 - Burger
Option 2 - Pizza
Do you prefer option 1 or option 2?
Answer: ",-0.0211944580078125,-3.865234375
55,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Burger,Sushi,"You have two options:
Option 1 - Burger
Option 2 - Sushi
Do you prefer option 1 or option 2?
Answer: ",-0.0181427001953125,-4.01953125
56,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Burger,Pasta,"You have two options:
Option 1 - Burger
Option 2 - Pasta
Do you prefer option 1 or option 2?
Answer: ",-0.041717529296875,-3.197265625
57,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Burger,Salad,"You have two options:
Option 1 - Burger
Option 2 - Salad
Do you prefer option 1 or option 2?
Answer: ",-0.050079345703125,-3.01953125
58,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Burger,Steak,"You have two options:
Option 1 - Burger
Option 2 - Steak
Do you prefer option 1 or option 2?
Answer: ",-0.213134765625,-1.650390625
59,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Burger,Tacos,"You have two options:
Option 1 - Burger
Option 2 - Tacos
Do you prefer option 1 or option 2?
Answer: ",-0.213134765625,-1.650390625
60,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Pasta,Pizza,"You have two options:
Option 1 - Pasta
Option 2 - Pizza
Do you prefer option 1 or option 2?
Answer: ",-0.07208251953125,-2.666015625
61,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Pasta,Sushi,"You have two options:
Option 1 - Pasta
Option 2 - Sushi
Do you prefer option 1 or option 2?
Answer: ",-0.0033817291259765625,-5.69140625
62,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Pasta,Burger,"You have two options:
Option 1 - Pasta
Option 2 - Burger
Do you prefer option 1 or option 2?
Answer: ",-0.020538330078125,-3.896484375
63,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Pasta,Salad,"You have two options:
Option 1 - Pasta
Option 2 - Salad
Do you prefer option 1 or option 2?
Answer: ",-0.017059326171875,-4.078125
64,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Pasta,Steak,"You have two options:
Option 1 - Pasta
Option 2 - Steak
Do you prefer option 1 or option 2?
Answer: ",-0.081298828125,-2.55078125
65,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Pasta,Tacos,"You have two options:
Option 1 - Pasta
Option 2 - Tacos
Do you prefer option 1 or option 2?
Answer: ",-0.6181640625,-0.7744140625
66,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Salad,Pizza,"You have two options:
Option 1 - Salad
Option 2 - Pizza
Do you prefer option 1 or option 2?
Answer: ",-1.4541015625,-0.26611328125
67,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Salad,Sushi,"You have two options:
Option 1 - Salad
Option 2 - Sushi
Do you prefer option 1 or option 2?
Answer: ",-1.201171875,-0.357666015625
68,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Salad,Burger,"You have two options:
Option 1 - Salad
Option 2 - Burger
Do you prefer option 1 or option 2?
Answer: ",-2.63671875,-0.07427978515625
69,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Salad,Pasta,"You have two options:
Option 1 - Salad
Option 2 - Pasta
Do you prefer option 1 or option 2?
Answer: ",-0.41796875,-1.07421875
70,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Salad,Steak,"You have two options:
Option 1 - Salad
Option 2 - Steak
Do you prefer option 1 or option 2?
Answer: ",-5.19140625,-0.0055694580078125
71,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Salad,Tacos,"You have two options:
Option 1 - Salad
Option 2 - Tacos
Do you prefer option 1 or option 2?
Answer: ",-8.28125,-0.0002532005310058594
72,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Steak,Pizza,"You have two options:
Option 1 - Steak
Option 2 - Pizza
Do you prefer option 1 or option 2?
Answer: ",-0.0007796287536621094,-7.15625
73,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Steak,Sushi,"You have two options:
Option 1 - Steak
Option 2 - Sushi
Do you prefer option 1 or option 2?
Answer: ",-0.001285552978515625,-6.65625
74,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Steak,Burger,"You have two options:
Option 1 - Steak
Option 2 - Burger
Do you prefer option 1 or option 2?
Answer: ",-0.0175933837890625,-4.05078125
75,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Steak,Pasta,"You have two options:
Option 1 - Steak
Option 2 - Pasta
Do you prefer option 1 or option 2?
Answer: ",-0.0027179718017578125,-5.91015625
76,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Steak,Salad,"You have two options:
Option 1 - Steak
Option 2 - Salad
Do you prefer option 1 or option 2?
Answer: ",-0.00010895729064941406,-9.125
77,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Steak,Tacos,"You have two options:
Option 1 - Steak
Option 2 - Tacos
Do you prefer option 1 or option 2?
Answer: ",-0.05487060546875,-2.9296875
78,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Tacos,Pizza,"You have two options:
Option 1 - Tacos
Option 2 - Pizza
Do you prefer option 1 or option 2?
Answer: ",-0.00015354156494140625,-8.78125
79,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Tacos,Sushi,"You have two options:
Option 1 - Tacos
Option 2 - Sushi
Do you prefer option 1 or option 2?
Answer: ",-6.604194641113281e-05,-9.625
80,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Tacos,Burger,"You have two options:
Option 1 - Tacos
Option 2 - Burger
Do you prefer option 1 or option 2?
Answer: ",-0.0015020370483398438,-6.5
81,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Tacos,Pasta,"You have two options:
Option 1 - Tacos
Option 2 - Pasta
Do you prefer option 1 or option 2?
Answer: ",-0.0001971721649169922,-8.53125
82,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Tacos,Salad,"You have two options:
Option 1 - Tacos
Option 2 - Salad
Do you prefer option 1 or option 2?
Answer: ",-1.9550323486328125e-05,-10.84375
83,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Tacos,Steak,"You have two options:
Option 1 - Tacos
Option 2 - Steak
Do you prefer option 1 or option 2?
Answer: ",-0.0013256072998046875,-6.625
84,"You have two options:
Option 1 - {A}
Option 2 - {B}
What is your preference?
Answer: ",Pizza,Sushi,"You have two options:
Option 1 - Pizza
Option 2 - Sushi
What is your preference?
Answer: ",-0.006927490234375,-4.9765625
85,"You have two options:
Option 1 - {A}
Option 2 - {B}
What is your preference?
Answer: ",Pizza,Burger,"You have two options:
Option 1 - Pizza
Option 2 - Burger
What is your preference?
Answer: ",-0.005397796630859375,-5.22265625
86,"You have two options:
Option 1 - {A}
Option 2 - {B}
What is your preference?
Answer: ",Pizza,Pasta,"You have two options:
Option 1 - Pizza
Option 2 - Pasta
What is your preference?
Answer: ",-0.01461029052734375,-4.234375
87,"You have two options:
Option 1 - {A}
Option 2 - {B}
What is your preference?
Answer: ",Pizza,Salad,"You have two options:
Option 1 - Pizza
Option 2 - Salad
What is your preference?
Answer: ",-0.0008044242858886719,-7.125
88,"You have two options:
Option 1 - {A}
Option 2 - {B}
What is your preference?
Answer: ",Pizza,Steak,"You have two options:
Option 1 - Pizza
Option 2 - Steak
What is your preference?
Answer: ",-0.004917144775390625,-5.31640625
89,"You have two options:
Option 1 - {A}
Option 2 - {B}
What is your preference?
Answer: ",Pizza,Tacos,"You have two options:
Option 1 - Pizza
Option 2 - Tacos
What is your preference?
Answer: ",-0.0175933837890625,-4.05078125
90,"You have two options:
Option 1 - {A}
Option 2 - {B}
What is your preference?
Answer: ",Sushi,Pizza,"You have two options:
Option 1 - Sushi
Option 2 - Pizza
What is your preference?
Answer: ",-0.002635955810546875,-5.94140625
91,"You have two options:
Option 1 - {A}
Option 2 - {B}
What is your preference?
Answer: ",Sushi,Burger,"You have two options:
Option 1 - Sushi
Option 2 - Burger
What is your preference?
Answer: ",-0.00946044921875,-4.6640625
92,"You have two options:
Option 1 - {A}
Option 2 - {B}
What is your preference?
Answer: ",Sushi,Pasta,"You have two options:
Option 1 - Sushi
Option 2 - Pasta
What is your preference?
Answer: ",-0.00630950927734375,-5.0703125
93,"You have two options:
Option 1 - {A}
Option 2 - {B}
What is your preference?
Answer: ",Sushi,Salad,"You have two options:
Option 1 - Sushi
Option 2 - Salad
What is your preference?
Answer: ",-0.0039520263671875,-5.53515625
94,"You have two options:
Option 1 - {A}
Option 2 - {B}
What is your preference?
Answer: ",Sushi,Steak,"You have two options:
Option 1 - Sushi
Option 2 - Steak
What is your preference?
Answer: ",-0.00476837158203125,-5.34765625
95,"You have two options:
Option 1 - {A}
Option 2 - {B}
What is your preference?
Answer: ",Sushi,Tacos,"You have two options:
Option 1 - Sushi
Option 2 - Tacos
What is your preference?
Answer: ",-0.0232391357421875,-3.7734375
96,"You have two options:
Option 1 - {A}
Option 2 - {B}
What is your preference?
Answer: ",Burger,Pizza,"You have two options:
Option 1 - Burger
Option 2 - Pizza
What is your preference?
Answer: ",-0.017059326171875,-4.078125
97,"You have two options:
Option 1 - {A}
Option 2 - {B}
What is your preference?
Answer: ",Burger,Sushi,"You have two options:
Option 1 - Burger
Option 2 - Sushi
What is your preference?
Answer: ",-0.10321044921875,-2.322265625
98,"You have two options:
Option 1 - {A}
Option 2 - {B}
What is your preference?
Answer: ",Burger,Pasta,"You have two options:
Option 1 - Burger
Option 2 - Pasta
What is your preference?
Answer: ",-0.09442138671875,-2.40625
