template_idx,option_a,option_b,score_a,score_b
0,ASUS,Lenovo,-0.55126953125,-1.6611328125
0,ASUS,HP,-0.4951171875,-1.6982421875
0,ASUS,Dell,-0.4892578125,-1.6923828125
0,ASUS,Apple,-0.57177734375,-1.3994140625
0,Lenovo,ASUS,-0.5830078125,-1.5517578125
0,Lenovo,HP,-0.5546875,-1.5546875
0,Lenovo,Dell,-0.568359375,-1.552734375
0,Lenovo,Apple,-0.62890625,-1.30078125
0,HP,ASUS,-0.5556640625,-1.5009765625
0,HP,Lenovo,-0.56298828125,-1.5556640625
0,HP,Dell,-0.48095703125,-1.56640625
0,HP,Apple,-0.5830078125,-1.2783203125
0,Dell,ASUS,-0.57763671875,-1.4521484375
0,Dell,Lenovo,-0.578125,-1.4140625
0,Dell,HP,-0.51318359375,-1.4501953125
0,Dell,Apple,-0.68212890625,-1.0810546875
0,Apple,ASUS,-0.389892578125,-1.7490234375
0,Apple,Lenovo,-0.4345703125,-1.6611328125
0,Apple,HP,-0.416015625,-1.595703125
0,Apple,Dell,-0.40673828125,-1.625
1,ASUS,Lenovo,-0.32763671875,-1.40625
1,ASUS,HP,-0.240234375,-1.716796875
1,ASUS,Dell,-0.2646484375,-1.6083984375
1,ASUS,Apple,-0.61083984375,-0.84521484375
1,Lenovo,ASUS,-0.291259765625,-1.517578125
1,Lenovo,HP,-0.291259765625,-1.517578125
1,Lenovo,Dell,-0.339111328125,-1.3701171875
1,Lenovo,Apple,-0.673828125,-0.775390625
1,HP,ASUS,-0.4208984375,-1.1630859375
1,HP,Lenovo,-0.5361328125,-0.9501953125
1,HP,Dell,-0.43408203125,-1.12890625
1,HP,Apple,-0.7431640625,-0.6962890625
1,Dell,ASUS,-0.308349609375,-1.44921875
1,Dell,Lenovo,-0.403564453125,-1.2001953125
1,Dell,HP,-0.33447265625,-1.3818359375
1,Dell,Apple,-0.75927734375,-0.68115234375
1,Apple,ASUS,-0.2110595703125,-1.7890625
1,Apple,Lenovo,-0.225341796875,-1.7412109375
