iteration,num_templates,Amazon,Tesla,Microsoft,Meta,Nvidia,Apple,Google
1,1,1.000005496891207,1.000003507037679,1.0000032168624258,1.0000002616139754,0.99999992462931,0.9999953366103705,0.9999922564223777
2,2,0.8657485973544445,0.7484049456250915,0.9999971342611922,1.3361793329267184,0.9999957449387726,1.155075522154909,0.9999988866830891
3,3,0.9088118216665282,0.8255751961027481,0.999994907362698,1.211280253207854,0.9999995063654988,1.100336432971149,1.000003895625546
4,4,0.9309615053467529,0.8664683386687593,0.9999856212284315,1.1541184301855727,0.9999353904558138,1.0742463966049,0.9999898726215785
5,5,0.8413818193404159,0.7041296538838469,0.8380297101528082,0.9981950333545583,1.4234667127982443,1.1912070111273712,1.1899942551662068
6,6,0.863128334837746,0.7498816799331356,0.8648586396496379,1.001114417146855,1.2732255897697984,1.1563032253995384,1.2120650898416254
7,7,0.9202588240097789,0.6858705095201881,0.9592210884307122,0.8468912629508573,0.9997752366297041,1.3385052454626014,1.457400976387773
8,8,0.9640654729936743,0.7200775728919204,0.964249478163195,0.8965681324481204,0.8968510828374744,1.2892785842012466,1.4410344700247617
9,9,0.9682533116751526,0.74786545670464,0.9682497284016289,0.9080910747394554,0.9080913185463616,1.2523025181467597,1.381121755257096
10,10,0.9714720994412838,0.7705679929229098,0.9714642957485238,0.9170620041021322,0.9170826400827004,1.2238478604212577,1.3359716826121035
11,11,0.9740210091357142,0.7893146641990124,0.9741717574524426,0.924317413773838,0.900399722964185,1.2012622946205633,1.3355238131629172
12,12,0.9761313183096125,0.8051903581482744,0.9761272117070884,0.930424754297545,0.8867977001822898,1.18284553432985,1.335527755895656
13,13,0.9779882413128111,0.8190020674519043,0.9780045637933076,0.935690816238023,0.8951467698342992,1.167460723246561,1.3054841189681379
14,14,0.9795840908037553,0.8309638763870674,0.9795834361457996,0.9402088495012387,0.9023726702895206,1.1544804349412698,1.2803769694698337
15,15,0.9809053450665355,0.8414409275214779,0.9808980722451864,0.9440588958943071,0.9087106796194966,1.1434166809450403,1.2592041343203906
16,16,0.9821419340819166,0.8818878440101148,0.964699289093152,0.9475612084952965,0.8978888594871764,1.1336994452965692,1.240773874526278
17,17,0.9831672756303519,0.8884398271828342,0.9667381519460915,0.9505612270094529,0.8884462055168726,1.1253339288128443,1.2460717855337846
18,18,0.9841191596541222,0.8943617475195861,0.9685748312959145,0.9532671027818119,0.8943634152598254,1.1179206256959082,1.2307400035436618
19,19,0.9849472996340239,0.8996296824691151,0.9701993386082854,0.9702011795121247,0.8727990556626044,1.1113839062806348,1.2360102896563876
20,20,0.9858361522801737,0.9048808254371222,0.9720398409343227,0.9711925086917248,0.8783597238564422,1.104897312307509,1.223545583912684
21,21,0.9869040148766615,0.9070598598011779,0.9725032286070652,0.9846379014007909,0.8596075439848252,1.1181867614268635,1.2136877556444297
22,22,0.9870330442084729,0.9127803226510092,0.9742601195331131,0.9999736751991296,0.8550226038012216,1.109875411666772,1.2005678789930496
23,23,0.9874753423608934,0.9162915808536672,0.9751262535048157,1.0125819391200666,0.8394044741179109,1.105198369514903,1.2065282710025524
24,24,0.9881137004809781,0.9197833943697798,0.9763952036058682,1.011986346266664,0.8457501439500372,1.1002731347391426,1.1966430827670387
25,25,0.9885835532335304,0.9228749929009061,0.9773474032263422,1.011516294119755,0.8514999566606087,1.0960361821642999,1.1879888733311248
26,26,0.9890395425852265,0.925739316376081,0.9781988746649782,1.0110708329579665,0.8473569966429645,1.1043168274457584,1.1801271045383035
27,27,0.9894620315239201,0.9284051527296306,0.9790140725477255,1.032345987052382,0.843560645844644,1.0886309634872764,1.1728760615792098
28,28,0.9901116420901878,0.9298387794636641,0.9799510873183364,1.0318682464960507,0.8484532872289722,1.0850491386318624,1.1668154946430231
29,29,0.9901720414089514,0.9331969228559934,0.980450380912665,1.0300768683784975,0.8536050912532545,1.0822455562972835,1.159946557339155
30,30,0.9904704321418543,0.9352117031095987,0.9811312954670681,1.029206532952116,0.8580521140153998,1.0794077824534798,1.1543026112440171
31,31,0.9909064487628243,0.9374727926885266,0.9815792561278018,1.0280057870777677,0.8623904175537533,1.0767764263196524,1.148836645379206
